id,Name,Experience,Height,Weight,Abilitie 1,Abilitie 2,Abilitie 3,Move 1,Move 2,Move 3,Move 3,Move 5,Move 6,Move 7
1,bulbasaur,64,7,69,chlorophyll,overgrow,,razor-wind,swords-dance,cut,bind,vine-whip,headbutt,tackle
2,ivysaur,142,10,130,chlorophyll,overgrow,,swords-dance,cut,bind,vine-whip,headbutt,tackle,body-slam
3,venusaur,236,20,1000,chlorophyll,overgrow,,swords-dance,cut,bind,vine-whip,headbutt,tackle,body-slam
4,charmander,62,6,85,solar-power,blaze,,mega-punch,fire-punch,thunder-punch,scratch,swords-dance,cut,mega-kick
5,charmeleon,142,11,190,solar-power,blaze,,mega-punch,fire-punch,thunder-punch,scratch,swords-dance,cut,mega-kick
6,charizard,240,17,905,solar-power,blaze,,mega-punch,fire-punch,thunder-punch,scratch,swords-dance,cut,wing-attack
7,squirtle,63,5,90,rain-dish,torrent,,mega-punch,ice-punch,mega-kick,headbutt,tackle,body-slam,take-down
8,wartortle,142,10,225,rain-dish,torrent,,mega-punch,ice-punch,mega-kick,headbutt,tackle,body-slam,take-down
9,blastoise,239,16,855,rain-dish,torrent,,mega-punch,ice-punch,mega-kick,headbutt,tackle,body-slam,take-down
10,caterpie,39,3,29,run-away,shield-dust,,tackle,string-shot,snore,bug-bite,electroweb,,
11,metapod,72,7,99,shed-skin,,,string-shot,harden,iron-defense,bug-bite,electroweb,,
12,butterfree,178,11,320,tinted-lens,compound-eyes,,razor-wind,gust,whirlwind,take-down,double-edge,supersonic,psybeam
13,weedle,39,3,32,run-away,shield-dust,,poison-sting,string-shot,bug-bite,electroweb,,,
14,kakuna,72,6,100,shed-skin,,,string-shot,harden,iron-defense,bug-bite,electroweb,,
15,beedrill,178,10,295,sniper,swarm,,swords-dance,cut,fury-attack,take-down,double-edge,twineedle,pin-missile
16,pidgey,50,3,18,big-pecks,tangled-feet,keen-eye,razor-wind,gust,wing-attack,whirlwind,fly,sand-attack,tackle
17,pidgeotto,122,11,300,big-pecks,tangled-feet,keen-eye,razor-wind,gust,wing-attack,whirlwind,fly,sand-attack,tackle
18,pidgeot,216,15,395,big-pecks,tangled-feet,keen-eye,razor-wind,gust,wing-attack,whirlwind,fly,sand-attack,tackle
19,rattata,51,3,35,hustle,guts,run-away,cut,headbutt,tackle,body-slam,take-down,double-edge,tail-whip
20,raticate,145,7,185,hustle,guts,run-away,swords-dance,cut,headbutt,tackle,body-slam,take-down,double-edge
21,spearow,52,3,20,sniper,keen-eye,,razor-wind,whirlwind,fly,fury-attack,take-down,double-edge,leer
22,fearow,155,12,380,sniper,keen-eye,,razor-wind,whirlwind,fly,fury-attack,take-down,double-edge,leer
23,ekans,58,20,69,unnerve,shed-skin,intimidate,bind,slam,headbutt,body-slam,wrap,take-down,double-edge
24,arbok,157,35,650,unnerve,shed-skin,intimidate,bind,headbutt,body-slam,wrap,take-down,double-edge,poison-sting
25,pikachu,112,4,60,lightning-rod,static,,mega-punch,pay-day,thunder-punch,slam,mega-kick,headbutt,body-slam
26,raichu,218,8,300,lightning-rod,static,,mega-punch,pay-day,thunder-punch,mega-kick,headbutt,body-slam,take-down
27,sandshrew,60,6,120,sand-rush,sand-veil,,scratch,swords-dance,cut,sand-attack,headbutt,body-slam,take-down
28,sandslash,158,10,295,sand-rush,sand-veil,,scratch,swords-dance,cut,sand-attack,headbutt,body-slam,take-down
29,nidoran-f,55,4,70,hustle,rivalry,poison-point,scratch,cut,double-kick,headbutt,tackle,body-slam,take-down
30,nidorina,128,8,200,hustle,rivalry,poison-point,scratch,cut,double-kick,headbutt,horn-drill,tackle,body-slam
31,nidoqueen,227,13,600,sheer-force,rivalry,poison-point,mega-punch,pay-day,fire-punch,ice-punch,thunder-punch,scratch,cut
32,nidoran-m,55,5,90,hustle,rivalry,poison-point,cut,double-kick,headbutt,horn-attack,fury-attack,horn-drill,tackle
33,nidorino,128,9,195,hustle,rivalry,poison-point,cut,double-kick,headbutt,horn-attack,fury-attack,horn-drill,tackle
34,nidoking,227,14,620,sheer-force,rivalry,poison-point,mega-punch,pay-day,fire-punch,ice-punch,thunder-punch,cut,double-kick
35,clefairy,113,6,75,friend-guard,magic-guard,cute-charm,pound,double-slap,mega-punch,fire-punch,ice-punch,thunder-punch,mega-kick
36,clefable,217,13,400,unaware,magic-guard,cute-charm,double-slap,mega-punch,fire-punch,ice-punch,thunder-punch,mega-kick,headbutt
37,vulpix,60,6,99,drought,flash-fire,,headbutt,body-slam,take-down,double-edge,tail-whip,roar,disable
38,ninetales,177,11,199,drought,flash-fire,,headbutt,body-slam,take-down,double-edge,tail-whip,roar,ember
39,jigglypuff,95,5,55,friend-guard,competitive,cute-charm,pound,double-slap,mega-punch,fire-punch,ice-punch,thunder-punch,mega-kick
40,wigglytuff,196,10,120,frisk,competitive,cute-charm,double-slap,mega-punch,fire-punch,ice-punch,thunder-punch,mega-kick,headbutt
41,zubat,49,8,75,infiltrator,inner-focus,,razor-wind,gust,wing-attack,whirlwind,fly,take-down,double-edge
42,golbat,159,16,550,infiltrator,inner-focus,,razor-wind,wing-attack,whirlwind,fly,take-down,double-edge,bite
43,oddish,64,5,54,run-away,chlorophyll,,swords-dance,cut,take-down,double-edge,acid,absorb,mega-drain
44,gloom,138,8,86,stench,chlorophyll,,swords-dance,cut,take-down,double-edge,acid,absorb,mega-drain
45,vileplume,221,12,186,effect-spore,chlorophyll,,swords-dance,cut,body-slam,take-down,double-edge,acid,hyper-beam
46,paras,57,3,54,damp,dry-skin,effect-spore,scratch,swords-dance,cut,body-slam,take-down,double-edge,psybeam
47,parasect,142,10,295,damp,dry-skin,effect-spore,scratch,swords-dance,cut,body-slam,take-down,double-edge,hyper-beam
